Datacenter_Dest,0,1,2,3,4,5,6,7,8,9,10,11
0,0,15.7,64.0,66.1,15.8,49.5,69.2,76.9,92.8,101.7,149.4,180.1
1,17.1,0,52.8,47.6,29.9,40.0,84.5,88.4,103.1,112.3,138,188.4
2,63.2,51.9,0,19.9,80.9,39.7,129.3,148.4,153.7,163.6,108.9,138.9
3,63.5,47.1,20.7,0,60.4,20.8,118.8,129.8,143,151.2,97.8,140.7
4,16.7,26.9,81.9,60.3,0,49.1,70.6,80,94.8,101.6,148.7,198.4
5,52.9,41.1,41.2,21.8,51.6,0,139.3,147.5,162.5,172.1,114,162.1
6,70.2,79.4,130.1,118.9,69.1,135.3,0,13.1,27.6,35.8,205.1,256.3
7,77.4,87.9,148.9,128.9,78.8,145.8,13.8,0,15.9,28.6,214,266.6
8,92.3,102.9,152.3,141.3,92.6,158.1,27,15.3,0,12.4,228.3,253.3
9,101.7,112.7,161.7,151.8,102,168.5,35,26.5,12.3,0,221.4,245.8
10,151,135.6,109,98.3,146.8,110.7,205.5,216.4,229.9,219.9,0,109.7
11,198.9,187.7,139.1,140.5,197.4,156.6,256.3,266.3,253.7,244.3,108.9,0